cz,Name,College_Graduation_Rate_rP_gP_pall,EmploymentRate,JobDensity
cz29003,Dodge City,0.3371,0.7756,6.179
cz39302,Bellingham,0.3369,0.7413,44.88
cz20301,Berlin,0.3368,0.7998,11.95
cz15000,Canton,0.3367,0.7862,93.42
cz29402,Emporia,0.3362,0.8223,9.379
cz24801,Jacksonville,0.3361,0.82,14.38
cz22700,Wausau,0.336,0.844,27.4
cz29007,Township 11,0.336,0.8187,2.212
cz17300,Staunton,0.3357,0.7931,26.11
cz27502,Creston,0.3346,0.8094,9.056
cz11402,Marinette,0.334,0.8281,10.03
cz12100,Kalamazoo,0.3335,0.79,95.93
cz12501,Dayton,0.3331,0.791,130.1
cz26602,Sisseton,0.3327,0.8213,3.288
cz32601,Wichita Falls,0.3324,0.7733,23.99
cz30802,Lubbock,0.3323,0.7759,30.44
cz25500,Centralia,0.3321,0.816,24.15
cz7200,Cape Coral,0.332,0.7624,151.6
cz15300,Parkersburg,0.332,0.7778,36.11
cz6401,Chattanooga,0.3318,0.755,98.82
cz700,Spartanburg,0.3318,0.767,84.41
cz5401,Bowling Green,0.3315,0.7573,44.84
cz12302,Petoskey,0.3313,0.776,23.05
cz28607,McCook,0.331,0.8162,3.471
cz21004,Rhinelander,0.3304,0.8199,9.984
cz36800,Medford,0.3298,0.7277,26.05
cz31001,Garden City,0.3297,0.7844,6.708
cz18900,Williamsport,0.3295,0.8053,28.79
cz35801,Boise City,0.3291,0.7615,20.3
cz26107,Kirksville,0.3291,0.7762,8.767
cz31004,Liberal,0.3289,0.7749,4.612
cz27007,Huron,0.3289,0.8587,5.751
cz18500,Amsterdam,0.3288,0.8102,17.45
cz11900,Saginaw,0.3287,0.7905,51.3
cz31002,Ulysses,0.3283,0.8061,4.07
cz35001,Phoenix,0.3282,0.7495,100.2
cz31900,Pearland,0.3281,0.7699,53.54
cz36502,Burns,0.3271,0.776,0.29
cz30402,Tulsa,0.327,0.7547,59.34
cz39100,Kennewick,0.3269,0.7668,17.65
cz19901,Dover,0.3268,0.7864,86.19
cz38501,Moses Lake,0.3261,0.7538,10.4
cz35401,Flagstaff,0.3261,0.7493,4.975
cz33803,Oklahoma City,0.3254,0.7517,95.45
cz32501,Abilene,0.3253,0.7694,15.78
cz1204,Andrews,0.3253,0.7129,22.64
cz39203,Bend,0.3252,0.7579,11.17
cz6700,Tampa,0.3249,0.7486,526.3
cz28306,North Platte,0.3249,0.8234,4.848
cz8202,Charleston,0.3247,0.7745,92.74
cz29005,Hutchinson,0.3247,0.8069,14.26
cz1900,Jacksonville,0.3238,0.7592,61.08
cz34201,Havre,0.3237,0.7756,1.25
cz11101,Montgomery,0.3236,0.752,48.46
cz12800,Washington,0.323,0.8149,36.19
cz12301,Traverse City,0.3227,0.785,35.16
cz30905,Wellington,0.3226,0.7522,2.268
cz28201,Red Oak,0.3223,0.829,8.309
cz29403,Bartlesville,0.3222,0.7862,18.88
cz13900,Center,0.3222,0.7946,43.49
cz27703,Torrington,0.3222,0.8265,2.696
cz34601,Gillette,0.322,0.8218,3.177
cz22900,La Crosse,0.3219,0.8405,34.94
cz21702,Austin,0.3219,0.8432,24.81
cz38401,Lewiston,0.3216,0.7844,2.905
cz34305,Miles City,0.3212,0.8234,1.251
cz10900,Pensacola,0.3211,0.7522,85.13
cz34603,Casper,0.3208,0.8121,5.103
cz8900,Macon,0.3207,0.7574,58.06
cz28703,Granby,0.3205,0.8406,4.472
cz17100,Huntington,0.3204,0.742,49.26
cz2200,South Boston,0.3199,0.7785,15.96
cz12903,Danville,0.3198,0.7454,37.3
cz14300,Columbus,0.3198,0.7921,53.77
cz26409,Glendive,0.3196,0.8156,1.442
cz23301,Charleston,0.3196,0.7932,21.74
cz24500,Rolla,0.3195,0.7762,13.41
cz5202,Memphis,0.3195,0.7575,137.7
cz21003,Ironwood,0.3179,0.8261,3.319
cz1600,Wilson,0.3178,0.7752,67.3
cz21400,St. Cloud,0.3176,0.8475,58.23
cz33602,Altus,0.317,0.7554,5.802
cz24200,Bourbonnais,0.3162,0.8012,35.73
cz36404,Rock Springs,0.3159,0.8013,1.99
cz11001,Mobile,0.3157,0.7456,44.15
cz35902,Price,0.3147,0.7383,3.087
cz3800,Lafayette,0.3139,0.7546,51.76
cz18201,Olean,0.3139,0.7991,18.64
cz8602,Brunswick,0.3139,0.7618,36.15
cz30601,El Paso,0.3135,0.751,43.41
cz13502,Defiance,0.3123,0.8219,34.52
cz4003,Ruston,0.3119,0.7592,15.29
cz35201,Grand Junction,0.3116,0.7679,12.13
cz26106,Centerville,0.311,0.8165,8.463
cz25300,Union City,0.3108,0.7757,21.69
cz20003,Presque Isle,0.3107,0.7935,4.64
cz7600,Jacksonville,0.3107,0.7577,149.1
cz1201,Franklin,0.3107,0.7405,22.54
cz26202,East Grant UT,0.3106,0.8418,0.7462
cz6200,Florence,0.3102,0.7471,29.83
cz39303,Port Angeles,0.3095,0.7486,9.899
cz17501,Cumberland,0.3095,0.7901,27.11
cz19903,Chincoteague,0.3094,0.7947,31.07
cz4702,Clarksdale,0.3081,0.7457,15.98
cz17400,Hagerstown,0.3078,0.783,95.79
cz35100,Tucson,0.3072,0.755,29.52
cz1202,Sylva,0.307,0.7194,19.5
cz16000,Mansfield,0.3069,0.7953,62.46
cz39000,Yakima,0.3068,0.7658,19.08
cz35702,Burley,0.3064,0.7577,6.118
cz4402,Richmond,0.3064,0.7324,43.22
cz1800,Goldsboro,0.3063,0.7621,44.13
cz7500,Deltona,0.3063,0.751,121.8
cz32604,Vernon,0.306,0.7679,3.203
cz11500,Jackson,0.3059,0.782,62.79
cz25601,Carbondale,0.3054,0.7856,29.17
cz36501,Klamath Falls,0.3046,0.7524,2.638
cz23000,Monroe,0.3042,0.8369,21.12
cz35402,Cortez,0.3041,0.7505,1.638
cz13800,Wayne,0.3039,0.796,46.07
cz4301,Stuttgart,0.3037,0.7663,6.803
cz2100,Washington,0.3034,0.7628,17.78
cz31301,San Antonio,0.3025,0.7695,107.2
cz31401,Midland,0.3012,0.7591,27.75
cz10102,Thomasville,0.3012,0.7444,25.89
cz26104,Trenton,0.3008,0.8191,7.136
cz33400,Longview,0.3004,0.7518,37.35
cz3203,Vicksburg,0.3004,0.764,12.59
cz14600,Bloomington,0.3002,0.7655,43.69
cz29700,Springfield,0.2996,0.7583,42.09
cz10302,Dothan,0.2995,0.7519,33.01
cz16802,Summersville,0.2992,0.7293,9.701
cz31007,Dumas,0.299,0.7764,4.542
cz4601,Campbellsville,0.2988,0.7481,20.79
